Year,Trial,Cultivar,State,TMT,Rep,Orig_tmt,DOY,Spikes,Plants,Disease_Control,Response_ratio,tResponse_ratio,MOA,Treat
1997,1,Willamette,Oregon,1F,1,F,136,0,9,1,0,0,M04,Treated
1997,1,Willamette,Oregon,1F,2,F,136,0,9,1,0,0,M04,Treated
1997,1,Willamette,Oregon,1F,3,F,136,0,9,1,0,0,M04,Treated
1997,1,Willamette,Oregon,1F,4,F,136,0.2222,9,0.5,0.5,0.176091259,M04,Treated
1997,1,Willamette,Oregon,1G,1,G,136,0.3333,9,0,1,0.301029996,Non-treated,Non-treated
1997,1,Willamette,Oregon,1G,2,G,136,0.4444,9,0,1,0.301029996,Non-treated,Non-treated
1997,1,Willamette,Oregon,1G,3,G,136,0.2222,9,0,1,0.301029996,Non-treated,Non-treated
1997,1,Willamette,Oregon,1G,4,G,136,0.4444,9,0,1,0.301029996,Non-treated,Non-treated
1998,2,Nugget,Oregon,2A,1,A,129,3.3333,9,0.268291077,0.731708923,0.238474895,33,Treated
1998,2,Nugget,Oregon,2A,2,A,129,2,9,0.560970256,0.439029744,0.158069771,33,Treated
1998,2,Nugget,Oregon,2A,3,A,129,2.7777,9,0.657543366,0.342456634,0.127900265,33,Treated
1998,2,Nugget,Oregon,2B,1,B,129,0.4444,9,0.902447591,0.097552409,0.040425267,11,Treated
1998,2,Nugget,Oregon,2B,2,B,129,0.1111,9,0.975611898,0.024388102,0.010464526,11,Treated
1998,2,Nugget,Oregon,2B,3,B,129,2.5555,9,0.684937925,0.315062075,0.118946253,11,Treated
1998,2,Nugget,Oregon,2C,1,C,129,0.5555,9,0.878059489,0.121940511,0.04996983,NC,Treated
1998,2,Nugget,Oregon,2C,2,C,129,0.5555,9,0.878059489,0.121940511,0.04996983,NC,Treated
1998,2,Nugget,Oregon,2C,3,C,129,3,9,0.63013648,0.36986352,0.1366773,NC,Treated
1998,2,Nugget,Oregon,2D,1,D,129,2.7777,9,0.39025354,0.60974646,0.206757479,11,Treated
1998,2,Nugget,Oregon,2D,2,D,129,2.8888,9,0.365865437,0.634134563,0.213287816,11,Treated
1998,2,Nugget,Oregon,2D,3,D,129,8.1111,9,0,1,0.301029996,11,Treated
1998,2,Nugget,Oregon,2E,1,E,129,1.8888,9,0.58538031,0.41461969,0.150639699,11,Treated
1998,2,Nugget,Oregon,2E,2,E,129,6,9,-0.317089233,1.317089233,0.364942759,11,Treated
1998,2,Nugget,Oregon,2E,3,E,129,4.6666,9,0.424664965,0.575335035,0.197372932,11,Treated
1998,2,Nugget,Oregon,2F,1,F,129,3.3333,9,0.268291077,0.731708923,0.238474895,27_M1,Treated
1998,2,Nugget,Oregon,2F,2,F,129,1,9,0.780485128,0.219514872,0.086187101,27_M1,Treated
1998,2,Nugget,Oregon,2F,3,F,129,1.4444,9,0.821923044,0.178076956,0.071173661,27_M1,Treated
1998,2,Nugget,Oregon,2G,1,G,129,0.5555,9,0.878059489,0.121940511,0.04996983,27_M1,Treated
1998,2,Nugget,Oregon,2G,2,G,129,0,9,1,0,0,27_M1,Treated
1998,2,Nugget,Oregon,2G,3,G,129,0.6666,9,0.917816326,0.082183674,0.034300978,27_M1,Treated
1998,2,Nugget,Oregon,2H,1,H,129,0.2222,9,0.951223795,0.048776205,0.020682825,33_27,Treated
1998,2,Nugget,Oregon,2H,2,H,129,2.2222,9,0.512194051,0.487805949,0.172546291,33_27,Treated
1998,2,Nugget,Oregon,2H,3,H,129,0.8888,9,0.890421768,0.109578232,0.045157928,33_27,Treated
1998,2,Nugget,Oregon,2I,1,I,129,0.6666,9,0.853671386,0.146328614,0.059309133,33_27,Treated
1998,2,Nugget,Oregon,2I,2,I,129,0.8888,9,0.804895182,0.195104818,0.077405997,33_27,Treated
1998,2,Nugget,Oregon,2I,3,I,129,0.2222,9,0.972605442,0.027394558,0.011737261,33_27,Treated
1998,2,Nugget,Oregon,2J,1,J,129,2.5555,9,0.439029744,0.560970256,0.193394628,27_11,Treated
1998,2,Nugget,Oregon,2J,2,J,129,0.7777,9,0.829283284,0.170716716,0.068451819,27_11,Treated
1998,2,Nugget,Oregon,2J,3,J,129,1.1111,9,0.863014881,0.136985119,0.055754781,27_11,Treated
1998,2,Nugget,Oregon,2K,1,K,129,1,9,0.780485128,0.219514872,0.086187101,11,Treated
1998,2,Nugget,Oregon,2K,2,K,129,0.1111,9,0.975611898,0.024388102,0.010464526,11,Treated
1998,2,Nugget,Oregon,2K,3,K,129,3.5555,9,0.561650084,0.438349916,0.157864552,11,Treated
1998,2,Nugget,Oregon,2L,1,L,129,4.2222,9,0.073164307,0.926835693,0.284844683,4,Treated
1998,2,Nugget,Oregon,2L,2,L,129,0.3333,9,0.926835693,0.073164307,0.03066622,4,Treated
1998,2,Nugget,Oregon,2L,3,L,129,5.8888,9,0.273982567,0.726017433,0.237045178,4,Treated
1998,2,Nugget,Oregon,2M,1,M,129,4.5555,9,NA,1,0.301029996,Non-treated,Non-treated
1998,2,Nugget,Oregon,2M,2,M,129,4.5555,9,NA,1,0.301029996,Non-treated,Non-treated
1998,2,Nugget,Oregon,2M,3,M,129,8.1111,9,NA,1,0.301029996,Non-treated,Non-treated
1999,3,Nugget,Oregon,3A,1,A,149,0,9,1,0,0,33,Treated
1999,3,Nugget,Oregon,3A,2,A,149,0,9,1,0,0,33,Treated
1999,3,Nugget,Oregon,3A,3,A,149,0,9,1,0,0,33,Treated
1999,3,Nugget,Oregon,3B,1,B,149,1.3333,9,-0.199982,1.199982,0.342419127,.,Treated
1999,3,Nugget,Oregon,3B,2,B,149,0.1111,9,0.909098347,0.090901653,0.0377856,.,Treated
1999,3,Nugget,Oregon,3B,3,B,149,0.3333,9,0.4,0.6,0.204119983,.,Treated
1999,3,Nugget,Oregon,3C,1,C,149,1.1111,9,0,1,0.301029996,.,Treated
1999,3,Nugget,Oregon,3C,2,C,149,0,9,1,0,0,.,Treated
1999,3,Nugget,Oregon,3C,3,C,149,0.4444,9,0.2,0.8,0.255272505,.,Treated
1999,3,Nugget,Oregon,3D,1,D,149,0,9,1,0,0,11,Treated
1999,3,Nugget,Oregon,3D,2,D,149,0,9,1,0,0,11,Treated
1999,3,Nugget,Oregon,3D,3,D,149,0,9,1,0,0,11,Treated
1999,3,Nugget,Oregon,3E,1,E,149,0,9,1,0,0,33,Treated
1999,3,Nugget,Oregon,3E,2,E,149,0,9,1,0,0,33,Treated
1999,3,Nugget,Oregon,3E,3,E,149,0,9,1,0,0,33,Treated
1999,3,Nugget,Oregon,3F,1,F,149,1.1111,9,0,1,0.301029996,Non-treated,Non-treated
1999,3,Nugget,Oregon,3F,2,F,149,1.2222,9,0,1,0.301029996,Non-treated,Non-treated
1999,3,Nugget,Oregon,3F,3,F,149,0.5555,9,0,1,0.301029996,Non-treated,Non-treated
1999,3,Nugget,Oregon,3G,1,G,149,0,9,1,0,0,27_M04,Treated
1999,3,Nugget,Oregon,3G,2,G,149,0,9,1,0,0,27_M04,Treated
1999,3,Nugget,Oregon,3G,3,G,149,0,9,1,0,0,27_M04,Treated
1999,3,Nugget,Oregon,3H,1,H,149,0,9,1,0,0,27_M1,Treated
1999,3,Nugget,Oregon,3H,2,H,149,0,9,1,0,0,27_M1,Treated
1999,3,Nugget,Oregon,3H,3,H,149,0,9,1,0,0,27_M1,Treated
1999,3,Nugget,Oregon,3I,1,I,149,0.8888,9,0.200072001,0.799927999,0.255255133,11,Treated
1999,3,Nugget,Oregon,3I,2,I,149,0.4444,9,0.636393389,0.363606611,0.134689098,11,Treated
1999,3,Nugget,Oregon,3I,3,I,149,1.333,9,-1.399639964,2.399639964,0.531432926,11,Treated
1999,3,Nugget,Oregon,3J,1,J,149,0.4444,9,0.600036,0.399964,0.146116868,.,Treated
1999,3,Nugget,Oregon,3J,2,J,149,1.3333,9,-0.090901653,1.090901653,0.320333606,.,Treated
1999,3,Nugget,Oregon,3J,3,J,149,1.8888,9,-2.400180018,3.400180018,0.643470444,.,Treated
2000,4,Galena,Washington,4A,1,A,170,0,9,1,0,0,27_11,Treated
2000,4,Galena,Washington,4A,2,A,170,0.22,9,0.78,0.22,0.086359831,27_11,Treated
2000,4,Galena,Washington,4A,3,A,170,0.11,9,0.923611111,0.076388889,0.031969206,27_11,Treated
2000,4,Galena,Washington,4A,4,A,170,0.22,9,0.946472019,0.053527981,0.022646075,27_11,Treated
2000,4,Galena,Washington,4B,1,B,170,0,9,1,0,0,27_11,Treated
2000,4,Galena,Washington,4B,2,B,170,0.55,9,0.45,0.55,0.190331698,27_11,Treated
2000,4,Galena,Washington,4B,3,B,170,0.33,9,0.770833333,0.229166667,0.089610774,27_11,Treated
2000,4,Galena,Washington,4B,4,B,170,0,9,1,0,0,27_11,Treated
2000,4,Galena,Washington,4C,1,C,170,0,9,1,0,0,27_M1,Treated
2000,4,Galena,Washington,4C,2,C,170,1.66,9,-0.66,1.66,0.424881637,27_M1,Treated
2000,4,Galena,Washington,4C,3,C,170,0.33,9,0.770833333,0.229166667,0.089610774,27_M1,Treated
2000,4,Galena,Washington,4C,4,C,170,0,9,1,0,0,27_M1,Treated
2000,4,Galena,Washington,4D,1,D,170,0,9,1,0,0,33,Treated
2000,4,Galena,Washington,4D,2,D,170,0,9,1,0,0,33,Treated
2000,4,Galena,Washington,4D,3,D,170,0,9,1,0,0,33,Treated
2000,4,Galena,Washington,4D,4,D,170,0.11,9,0.97323601,0.02676399,0.011470629,33,Treated
2000,4,Galena,Washington,4E,1,E,170,1.22,9,0,1,0.301029996,Non-treated,Non-treated
2000,4,Galena,Washington,4E,2,E,170,1,9,0,1,0.301029996,Non-treated,Non-treated
2000,4,Galena,Washington,4E,3,E,170,1.44,9,0,1,0.301029996,Non-treated,Non-treated
2000,4,Galena,Washington,4E,4,E,170,4.11,9,0,1,0.301029996,Non-treated,Non-treated
2001,5,Galena,Washington,5A,1,A,156,0,9,1,0,0,33,Treated
2001,5,Galena,Washington,5A,2,A,156,0,9,1,0,0,33,Treated
2001,5,Galena,Washington,5A,3,A,156,0,9,1,0,0,33,Treated
2001,5,Galena,Washington,5A,4,A,156,0.22,9,0.973589436,0.026410564,0.011321113,33,Treated
2001,5,Galena,Washington,5B,1,B,156,0,9,1,0,0,27_M1,Treated
2001,5,Galena,Washington,5B,2,B,156,0,9,1,0,0,27_M1,Treated
2001,5,Galena,Washington,5B,3,B,156,0.22,9,0.961199295,0.038800705,0.016532236,27_M1,Treated
2001,5,Galena,Washington,5B,4,B,156,1.33,9,0.840336134,0.159663866,0.064332125,27_M1,Treated
2001,5,Galena,Washington,5C,1,C,156,0,9,1,0,0,27_11,Treated
2001,5,Galena,Washington,5C,2,C,156,0.33,9,0.919708029,0.080291971,0.033541148,27_11,Treated
2001,5,Galena,Washington,5C,3,C,156,0.13,9,0.97707231,0.02292769,0.009844935,27_11,Treated
2001,5,Galena,Washington,5C,4,C,156,1.56,9,0.81272509,0.18727491,0.07455129,27_11,Treated
2001,5,Galena,Washington,5D,1,D,156,0,9,1,0,0,27_11,Treated
2001,5,Galena,Washington,5D,2,D,156,0,9,1,0,0,27_11,Treated
2001,5,Galena,Washington,5D,3,D,156,0.11,9,0.980599647,0.019400353,0.00834478,27_11,Treated
2001,5,Galena,Washington,5D,4,D,156,0.44,9,0.947178872,0.052821128,0.022354592,27_11,Treated
2001,5,Galena,Washington,5E,1,E,156,2.11,9,0,1,0.301029996,Non-treated,Non-treated
2001,5,Galena,Washington,5E,2,E,156,4.11,9,0,1,0.301029996,Non-treated,Non-treated
2001,5,Galena,Washington,5E,3,E,156,5.67,9,0,1,0.301029996,Non-treated,Non-treated
2001,5,Galena,Washington,5E,4,E,156,8.33,9,0,1,0.301029996,Non-treated,Non-treated
2002,6,Galena,Washington,6A,1,A,.,0,7,1,0,0,27_11,Treated
2002,6,Galena,Washington,6A,2,A,.,0,7,1,0,0,27_11,Treated
2002,6,Galena,Washington,6A,3,A,.,0,7,1,0,0,27_11,Treated
2002,6,Galena,Washington,6A,4,A,.,0,7,1,0,0,27_11,Treated
2002,6,Galena,Washington,6B,1,B,.,0,7,1,0,0,27_11,Treated
2002,6,Galena,Washington,6B,2,B,.,0,7,1,0,0,27_11,Treated
2002,6,Galena,Washington,6B,3,B,.,0,7,1,0,0,27_11,Treated
2002,6,Galena,Washington,6B,4,B,.,0,7,1,0,0,27_11,Treated
2002,6,Galena,Washington,6C,1,C,.,0,7,1,0,0,.,Treated
2002,6,Galena,Washington,6C,2,C,.,0,7,1,0,0,.,Treated
2002,6,Galena,Washington,6C,3,C,.,0,7,1,0,0,.,Treated
2002,6,Galena,Washington,6C,4,C,.,0,7,1,0,0,.,Treated
2002,6,Galena,Washington,6D,1,D,.,0,7,1,0,0,.,Treated
2002,6,Galena,Washington,6D,2,D,.,0,7,1,0,0,.,Treated
2002,6,Galena,Washington,6D,3,D,.,0,7,1,0,0,.,Treated
2002,6,Galena,Washington,6D,4,D,.,0,7,1,0,0,.,Treated
2002,6,Galena,Washington,6E,1,E,.,0,7,1,0,0,27_M1,Treated
2002,6,Galena,Washington,6E,2,E,.,0,7,1,0,0,27_M1,Treated
2002,6,Galena,Washington,6E,3,E,.,0,7,1,0,0,27_M1,Treated
2002,6,Galena,Washington,6E,4,E,.,0,7,1,0,0,27_M1,Treated
2002,6,Galena,Washington,6F,1,F,.,0.142857,7,0.750000437,0.249999563,0.096909861,33,Treated
2002,6,Galena,Washington,6F,2,F,.,0,7,1,0,0,33,Treated
2002,6,Galena,Washington,6F,3,F,.,0,7,1,0,0,33,Treated
2002,6,Galena,Washington,6F,4,F,.,0,7,1,0,0,33,Treated
2002,6,Galena,Washington,6G,1,G,.,0,7,1,0,0,22,Treated
2002,6,Galena,Washington,6G,2,G,.,0,7,1,0,0,22,Treated
2002,6,Galena,Washington,6G,3,G,.,0.142857,7,0.714286,0.285714,0.109144373,22,Treated
2002,6,Galena,Washington,6G,4,G,.,0,7,1,0,0,22,Treated
2002,6,Galena,Washington,6H,1,H,.,0,7,1,0,0,22,Treated
2002,6,Galena,Washington,6H,2,H,.,0,7,1,0,0,22,Treated
2002,6,Galena,Washington,6H,3,H,.,0,7,1,0,0,22,Treated
2002,6,Galena,Washington,6H,4,H,.,0,7,1,0,0,22,Treated
2002,6,Galena,Washington,6I,1,I,.,0,7,1,0,0,22_M3,Treated
2002,6,Galena,Washington,6I,2,I,.,0,7,1,0,0,22_M3,Treated
2002,6,Galena,Washington,6I,3,I,.,0,7,1,0,0,22_M3,Treated
2002,6,Galena,Washington,6I,4,I,.,0.285714,7,0,1,0.301029996,22_M3,Treated
2002,6,Galena,Washington,6J,1,J,.,0,7,1,0,0,11,Treated
2002,6,Galena,Washington,6J,2,J,.,0,7,1,0,0,11,Treated
2002,6,Galena,Washington,6J,3,J,.,0,7,1,0,0,11,Treated
2002,6,Galena,Washington,6J,4,J,.,0,7,1,0,0,11,Treated
2002,6,Galena,Washington,6K,1,K,.,0.571429,7,0,1,0.301029996,Non-treated,Non-treated
2002,6,Galena,Washington,6K,2,K,.,0.571429,7,0,1,0.301029996,Non-treated,Non-treated
2002,6,Galena,Washington,6K,3,K,.,0.5,7,0,1,0.301029996,Non-treated,Non-treated
2002,6,Galena,Washington,6K,4,K,.,0.285714,7,0,1,0.301029996,Non-treated,Non-treated
2003,7,Nugget,Oregon,7A,1,A,153,2.8888,9,0,1,0.301029996,Non-treated,Non-treated
2003,7,Nugget,Oregon,7A,2,A,153,3.1111,9,0,1,0.301029996,Non-treated,Non-treated
2003,7,Nugget,Oregon,7A,3,A,153,3.3333,9,0,1,0.301029996,Non-treated,Non-treated
2003,7,Nugget,Oregon,7A,4,A,153,1.2222,9,0,1,0.301029996,Non-treated,Non-treated
2003,7,Nugget,Oregon,7B,1,B,153,6.4444,9,-1.230822487,2.230822487,0.509313097,33,Treated
2003,7,Nugget,Oregon,7B,2,B,153,5,9,-0.607148597,1.607148597,0.416165785,33,Treated
2003,7,Nugget,Oregon,7B,3,B,153,2.6666,9,0.200012,0.799988,0.25526961,33,Treated
2003,7,Nugget,Oregon,7B,4,B,153,3.1111,9,-1.545491736,2.545491736,0.549676477,33,Treated
2003,7,Nugget,Oregon,7C,1,C,153,1.8888,9,0.346164497,0.653835503,0.218492311,11,Treated
2003,7,Nugget,Oregon,7C,2,C,153,4.1111,9,-0.321429719,1.321429719,0.36575554,11,Treated
2003,7,Nugget,Oregon,7C,3,C,153,0.8888,9,0.733357334,0.266642666,0.102654113,11,Treated
2003,7,Nugget,Oregon,7C,4,C,153,0.4444,9,0.636393389,0.363606611,0.134689098,11,Treated
2003,7,Nugget,Oregon,7D,1,D,153,2.1111,9,0.26921213,0.73078787,0.238243843,11,Treated
2003,7,Nugget,Oregon,7D,2,D,153,1.4444,9,0.535726913,0.464273087,0.16562208,11,Treated
2003,7,Nugget,Oregon,7D,3,D,153,0.8888,9,0.733357334,0.266642666,0.102654113,11,Treated
2003,7,Nugget,Oregon,7D,4,D,153,0.6666,9,0.454590083,0.545409917,0.189043695,11,Treated
2003,7,Nugget,Oregon,7E,1,E,153,1.1111,9,0.615376627,0.384623373,0.141331658,11_7,Treated
2003,7,Nugget,Oregon,7E,2,E,153,0.6666,9,0.785734949,0.214265051,0.084313495,11_7,Treated
2003,7,Nugget,Oregon,7E,3,E,153,0.3333,9,0.900009,0.099991,0.041389132,11_7,Treated
2003,7,Nugget,Oregon,7E,4,E,153,0.3333,9,0.727295042,0.272704958,0.104727736,11_7,Treated
2003,8,Nugget,Oregon,8A,1,A,157,9.4444,9,0,1,0.301029996,Non-treated,Non-treated
2003,8,Nugget,Oregon,8A,2,A,157,10.5555,9,0,1,0.301029996,Non-treated,Non-treated
2003,8,Nugget,Oregon,8A,3,A,157,17.2222,9,0,1,0.301029996,Non-treated,Non-treated
2003,8,Nugget,Oregon,8B,1,B,157,1.7777,9,0.811772055,0.188227945,0.074899762,33,Treated
2003,8,Nugget,Oregon,8B,2,B,157,1,9,0.905262659,0.094737341,0.039309932,33,Treated
2003,8,Nugget,Oregon,8B,3,B,157,1.2222,9,0.929033457,0.070966543,0.029775904,33,Treated
2003,8,Nugget,Oregon,8C,1,C,157,13.3333,9,-0.41176782,1.41176782,0.382335496,BM02,Treated
2003,8,Nugget,Oregon,8C,2,C,157,12,9,-0.136848089,1.136848089,0.329773649,BM02,Treated
2003,8,Nugget,Oregon,8C,3,C,157,14.4444,9,0.161291821,0.838708179,0.264512808,BM02,Treated
2003,8,Nugget,Oregon,8D,1,D,157,1.3333,9,0.858826394,0.141173606,0.057351718,11_7,Treated
2003,8,Nugget,Oregon,8D,2,D,157,4.4444,9,0.578949363,0.421050637,0.152609554,11_7,Treated
2003,8,Nugget,Oregon,8D,3,D,157,2.3333,9,0.86451789,0.13548211,0.055180296,11_7,Treated
2003,9,Willamette,Oregon,9A,1,A,157,1.4444,9,0,1,0.301029996,Non-treated,Non-treated
2003,9,Willamette,Oregon,9A,2,A,157,2,9,0,1,0.301029996,Non-treated,Non-treated
2003,9,Willamette,Oregon,9A,3,A,157,5.8888,9,0,1,0.301029996,Non-treated,Non-treated
2003,9,Willamette,Oregon,9B,1,B,157,0.2222,9,0.846164497,0.153835503,0.062143898,33,Treated
2003,9,Willamette,Oregon,9B,2,B,157,0.2222,9,0.8889,0.1111,0.045753148,33,Treated
2003,9,Willamette,Oregon,9B,3,B,157,0.6666,9,0.886802065,0.113197935,0.046572392,33,Treated
2003,9,Willamette,Oregon,9C,1,C,157,1.4444,9,0,1,0.301029996,BM02,Treated
2003,9,Willamette,Oregon,9C,2,C,157,1.7777,9,0.11115,0.88885,0.27619747,BM02,Treated
2003,9,Willamette,Oregon,9C,3,C,157,6.4444,9,-0.094348594,1.094348594,0.32104897,BM02,Treated
2003,9,Willamette,Oregon,9D,1,D,157,0.1111,9,0.923082249,0.076917751,0.032182536,11_7,Treated
2003,9,Willamette,Oregon,9D,2,D,157,0,9,1,0,0,11_7,Treated
2003,9,Willamette,Oregon,9D,3,D,157,0.1111,9,0.981133677,0.018866323,0.008117208,11_7,Treated
2003,10,Galena,Washington,10A,1,A,198,0,8,1,0,0,11,Treated
2003,10,Galena,Washington,10A,2,A,198,0,8,1,0,0,11,Treated
2003,10,Galena,Washington,10A,3,A,198,0,8,1,0,0,11,Treated
2003,10,Galena,Washington,10A,4,A,198,0,8,1,0,0,11,Treated
2003,10,Galena,Washington,10B,1,B,198,0.25,8,0.781250547,0.218749453,0.085914434,11,Treated
2003,10,Galena,Washington,10B,2,B,198,0,8,1,0,0,11,Treated
2003,10,Galena,Washington,10B,3,B,198,0,8,1,0,0,11,Treated
2003,10,Galena,Washington,10B,4,B,198,0,8,1,0,0,11,Treated
2003,10,Galena,Washington,10C,1,C,198,0.125,8,0.890625273,0.109374727,0.045078268,22,Treated
2003,10,Galena,Washington,10C,2,C,198,0.125,8,0.958333333,0.041666667,0.017728767,22,Treated
2003,10,Galena,Washington,10C,3,C,198,0,8,1,0,0,22,Treated
2003,10,Galena,Washington,10C,4,C,198,0,8,1,0,0,22,Treated
2003,10,Galena,Washington,10D,1,D,198,0,8,1,0,0,33,Treated
2003,10,Galena,Washington,10D,2,D,198,0.125,8,0.958333333,0.041666667,0.017728767,33,Treated
2003,10,Galena,Washington,10D,3,D,198,0.25,8,0.75,0.25,0.096910013,33,Treated
2003,10,Galena,Washington,10D,4,D,198,0.125,8,0.75,0.25,0.096910013,33,Treated
2003,10,Galena,Washington,10E,1,E,198,0,8,1,0,0,11,Treated
2003,10,Galena,Washington,10E,2,E,198,0.14286,8,0.95238,0.04762,0.020203781,11,Treated
2003,10,Galena,Washington,10E,3,E,198,0.25,8,0.75,0.25,0.096910013,11,Treated
2003,10,Galena,Washington,10E,4,E,198,0.14286,8,0.71428,0.28572,0.1091464,11,Treated
2003,10,Galena,Washington,10F,1,F,198,1.14286,8,0,1,0.301029996,Non-treated,Non-treated
2003,10,Galena,Washington,10F,2,F,198,3,8,0,1,0.301029996,Non-treated,Non-treated
2003,10,Galena,Washington,10F,3,F,198,1,8,0,1,0.301029996,Non-treated,Non-treated
2003,10,Galena,Washington,10F,4,F,198,0.5,8,0,1,0.301029996,Non-treated,Non-treated
2004,11,Galena,Washington,11A,1,A,174,1.16667,8,0,1,0.301029996,Non-treated,Non-treated
2004,11,Galena,Washington,11A,2,A,174,0.66667,8,0,1,0.301029996,Non-treated,Non-treated
2004,11,Galena,Washington,11A,3,A,174,1,8,0,1,0.301029996,Non-treated,Non-treated
2004,11,Galena,Washington,11B,1,B,174,0,8,1,0,0,33,Treated
2004,11,Galena,Washington,11B,2,B,174,0,8,1,0,0,33,Treated
2004,11,Galena,Washington,11B,3,B,174,0,8,1,0,0,33,Treated
2004,11,Galena,Washington,11C,1,C,174,0.71429,8,0.387753178,0.612246822,0.20743153,11_7,Treated
2004,11,Galena,Washington,11C,2,C,174,0.375,8,0.437502812,0.562497188,0.193819244,11_7,Treated
2004,11,Galena,Washington,11C,3,C,174,0.16667,8,0.83333,0.16667,0.06694803,11_7,Treated
2004,11,Galena,Washington,11D,1,D,174,0,8,1,0,0,11,Treated
2004,11,Galena,Washington,11D,2,D,174,0.66667,8,0,1,0.301029996,11,Treated
2004,11,Galena,Washington,11D,3,D,174,0.28571,8,0.71429,0.28571,0.109143022,11,Treated
2004,11,Galena,Washington,11E,1,E,174,0.57143,8,0.510204257,0.489795743,0.173126729,11,Treated
2004,11,Galena,Washington,11E,2,E,174,0.625,8,0.062504687,0.937495313,0.287240661,11,Treated
2004,11,Galena,Washington,11E,3,E,174,0.28571,8,0.71429,0.28571,0.109143022,11,Treated
2004,11,Galena,Washington,11F,1,F,174,0.14286,8,0.877548921,0.122451079,0.050167422,.,Treated
2004,11,Galena,Washington,11F,2,F,174,0.28571,8,0.571437143,0.428562857,0.154899354,.,Treated
2004,11,Galena,Washington,11F,3,F,174,0.14286,8,0.85714,0.14286,0.057993033,.,Treated
2004,11,Galena,Washington,11G,1,G,174,0.125,8,0.892857449,0.107142551,0.044203542,.,Treated
2004,11,Galena,Washington,11G,2,G,174,0.125,8,0.812500937,0.187499063,0.074633276,.,Treated
2004,11,Galena,Washington,11G,3,G,174,0,8,1,0,0,.,Treated
2004,11,Galena,Washington,11H,1,H,174,0.14286,8,0.877548921,0.122451079,0.050167422,.,Treated
2004,11,Galena,Washington,11H,2,H,174,0,8,1,0,0,.,Treated
2004,11,Galena,Washington,11H,3,H,174,0.16667,8,0.83333,0.16667,0.06694803,.,Treated
2005,12,Galena,Washington,12A,1,A,166,0,8,1,0,0,43,Treated
2005,12,Galena,Washington,12A,2,A,166,0,8,1,0,0,43,Treated
2005,12,Galena,Washington,12A,3,A,166,0.125,8,0.888888889,0.111111111,0.045757491,43,Treated
2005,12,Galena,Washington,12A,4,A,166,0.125,8,0.949186992,0.050813008,0.02152544,43,Treated
2005,12,Galena,Washington,12B,1,B,166,0,8,1,0,0,43,Treated
2005,12,Galena,Washington,12B,2,B,166,0.25,8,0.690721649,0.309278351,0.117031987,43,Treated
2005,12,Galena,Washington,12B,3,B,166,0,8,1,0,0,43,Treated
2005,12,Galena,Washington,12B,4,B,166,0,8,1,0,0,43,Treated
2005,12,Galena,Washington,12C,1,C,166,0,8,1,0,0,43_33,Treated
2005,12,Galena,Washington,12C,2,C,166,0,8,1,0,0,43_33,Treated
2005,12,Galena,Washington,12C,3,C,166,0,8,1,0,0,43_33,Treated
2005,12,Galena,Washington,12C,4,C,166,0,8,1,0,0,43_33,Treated
2005,12,Galena,Washington,12D,1,D,166,0.125,8,0.833333333,0.166666667,0.06694679,40,Treated
2005,12,Galena,Washington,12D,2,D,166,0.125,8,0.845360825,0.154639175,0.062446288,40,Treated
2005,12,Galena,Washington,12D,3,D,166,0,8,1,0,0,40,Treated
